53	3504.4285714285716 100 2265.0 15.273376448724214
36	1521.8 101 1.0 1.0
38	2000.0 104 2392.0 12.974922744057809
43	3338.1428571428573 104 2392.0 12.974922744057809
83	1992.0 105 1.0 1.0
48	3333.076923076923 106 1.0 1.0
72	2356.5454545454545 106 1.0 1.0
58	1884.1666666666667 10 994.5 24.560741911810815
1	1818.2631578947369 10 994.5 24.560741911810815
43	3338.1428571428573 112 1.0 1.0
77	1803.7142857142858 114 1.0 1.0
29	1716.5 119 1.0 1.0
25	2261.5 11 706.0 3.757660582594825
71	3030.75 11 706.0 3.757660582594825
77	1803.7142857142858 12 2165.0 145.02863883268094
48	3333.076923076923 139 1.0 1.0
52	2217.1111111111113 13 2894.25 105.5940118543684
74	2576.714285714286 14 1889.0 41.07238682329893
65	2076.1428571428573 14 1889.0 41.07238682329893
26	1801.7142857142858 15 662.0 16.190100280141657
1	1818.2631578947369 15 662.0 16.190100280141657
43	3338.1428571428573 16 2378.6666666666665 50.41305403905041
48	3333.076923076923 16 2378.6666666666665 50.41305403905041
44	1976.625 17 2084.4285714285716 100.7648672376186
56	1874.25 17 2084.4285714285716 100.7648672376186
76	1589.2857142857142 17 2084.4285714285716 100.7648672376186
77	1803.7142857142858 17 2084.4285714285716 100.7648672376186
63	2069.3636363636365 17 2084.4285714285716 100.7648672376186
40	1812.6666666666667 18 1025.5 23.33442298065446
36	1521.8 18 1025.5 23.33442298065446
62	2408.8 18 1025.5 23.33442298065446
63	2069.3636363636365 18 1025.5 23.33442298065446
55	2613.714285714286 18 1025.5 23.33442298065446
93	1667.6666666666667 18 1025.5 23.33442298065446
34	1938.2222222222222 19 1315.5 101.06623362027959
62	2408.8 19 1315.5 101.06623362027959
55	2613.714285714286 19 1315.5 101.06623362027959
87	3198.5 19 1315.5 101.06623362027959
37	1731.5555555555557 19 1315.5 101.06623362027959
67	2682.875 1 1818.2631578947369 456.0326500732952
59	2227.769230769231 1 1818.2631578947369 456.0326500732952
37	1731.5555555555557 1 1818.2631578947369 456.0326500732952
29	1716.5 1 1818.2631578947369 456.0326500732952
40	1812.6666666666667 1 1818.2631578947369 456.0326500732952
98	2620.6 1 1818.2631578947369 456.0326500732952
20	2774.25 1 1818.2631578947369 456.0326500732952
25	2261.5 1 1818.2631578947369 456.0326500732952
77	1803.7142857142858 1 1818.2631578947369 456.0326500732952
13	2894.25 1 1818.2631578947369 456.0326500732952
56	1874.25 1 1818.2631578947369 456.0326500732952
28	1784.6666666666667 1 1818.2631578947369 456.0326500732952
84	1413.0 1 1818.2631578947369 456.0326500732952
89	2845.8333333333335 1 1818.2631578947369 456.0326500732952
45	2613.090909090909 20 2774.25 98.47859954586718
40	1812.6666666666667 20 2774.25 98.47859954586718
75	1290.2857142857142 20 2774.25 98.47859954586718
59	2227.769230769231 20 2774.25 98.47859954586718
76	1589.2857142857142 21 1416.0 5.414195832065491
25	2261.5 21 1416.0 5.414195832065491
75	1290.2857142857142 21 1416.0 5.414195832065491
3	2019.8 21 1416.0 5.414195832065491
67	2682.875 22 835.5 39.79920263956771
55	2613.714285714286 22 835.5 39.79920263956771
19	1315.5 22 835.5 39.79920263956771
91	2369.25 22 835.5 39.79920263956771
17	2084.4285714285716 23 2541.5555555555557 124.69386145038332
1	1818.2631578947369 23 2541.5555555555557 124.69386145038332
102	1597.0 23 2541.5555555555557 124.69386145038332
33	2201.6363636363635 23 2541.5555555555557 124.69386145038332
52	2217.1111111111113 23 2541.5555555555557 124.69386145038332
40	1812.6666666666667 23 2541.5555555555557 124.69386145038332
27	1837.25 24 1.0 1.0
57	2535.1111111111113 24 1.0 1.0
39	2159.75 24 1.0 1.0
48	3333.076923076923 24 1.0 1.0
50	2529.3636363636365 24 1.0 1.0
60	2316.0 24 1.0 1.0
90	1618.142857142857 25 2261.5 137.65764979449455
12	2165.0 25 2261.5 137.65764979449455
59	2227.769230769231 26 1801.7142857142858 70.29792988650082
18	1025.5 26 1801.7142857142858 70.29792988650082
70	1690.0 26 1801.7142857142858 70.29792988650082
17	2084.4285714285716 26 1801.7142857142858 70.29792988650082
84	1413.0 26 1801.7142857142858 70.29792988650082
